"","PaisesEN","Populacao","PopulacaoMilhao"
"97","Latvia",1.9067,1906700
"98","Lebanon",6.8557,6855700
"99","Lesotho",NA,NA
"100","Liberia",4.9374,4937400
"101","Libya",6.7775,6777500
"102","Liechtenstein",0.038,38000
"103","Lithuania",2.7596,2759600
"104","Luxembourg",0.6157,615700
"105","Madagascar",26.9693,26969300
"106","Malawi",18.6287,18628700
"107","Malaysia",31.9498,31949800
"108","Maldives",0.531,531000
"109","Mali",19.658,19658000
"110","Malta",0.4404,440400
"111","Mauritania",4.5257,4525700
"112","Mauritius",1.2697,1269700
"113","Mexico",127.5755,127575500
"114","Moldova",4.0433,4043300
"115","Monaco",0.039,39000
"116","Mongolia",3.2252,3225200
"117","Montenegro",0.628,628000
"118","Morocco",36.4718,36471800
"119","Mozambique",30.366,30366000
"120","MS Zaandam",NA,NA
"121","Namibia",2.4945,2494500
"122","Nepal",28.6087,28608700
"123","Netherlands",17.0971,17097100
"124","New Zealand",4.7831,4783100
"125","Nicaragua",6.5455,6545500
"126","Niger",23.3107,23310700
"127","Nigeria",200.9636,200963600
"128","North Macedonia",2.0835,2083500
"129","Norway",5.3789,5378900
"130","Oman",4.975,4975000
"131","Pakistan",216.5653,216565300
"132","Panama",4.2464,4246400
"133","Papua New Guinea",8.7761,8776100
"134","Paraguay",7.0446,7044600
"135","Peru",32.5105,32510500
"136","Philippines",108.1166,108116600
"137","Poland",37.8878,37887800
"138","Portugal",10.2262,10226200
"139","Qatar",2.8321,2832100
"140","Romania",19.3646,19364600
"141","Russia",145.8723,145872300
"142","Rwanda",12.627,12627000
"143","Saint Kitts and Nevis",0.0528,52800
"144","Saint Lucia",0.1828,182800
"145","Saint Vincent and the Grenadines",0.1106,110600
"146","San Marino",0.0339,33900
"147","Sao Tome and Principe",0.2151,215100
"148","Saudi Arabia",34.2685,34268500
"149","Senegal",16.2964,16296400
"150","Serbia",8.7722,8772200
"151","Seychelles",0.0977,97700
"152","Sierra Leone",7.8132,7813200
"153","Singapore",5.8043,5804300
"154","Slovakia",5.457,5457000
"155","Slovenia",2.0787,2078700
"156","Somalia",15.4429,15442900
"157","South Africa",58.5583,58558300
"158","South Sudan",11.0621,11062100
"159","Spain",46.7368,46736800
"160","Sri Lanka",21.3237,21323700
"161","Sudan",42.8132,42813200
"162","Suriname",0.5814,581400
"163","Sweden",10.0364,10036400
"164","Switzerland",8.5914,8591400
"165","Syria",17.0701,17070100
"166","Taiwan*",NA,NA
"167","Tajikistan",9.321,9321000
"168","Tanzania",58.0055,58005500
"169","Thailand",69.6256,69625600
"170","Timor-Leste",1.2931,1293100
"171","Togo",8.0824,8082400
"172","Trinidad and Tobago",1.395,1395000
"173","Tunisia",11.6947,11694700
"174","Turkey",83.4296,83429600
"175","Uganda",44.2696,44269600
"176","Ukraine",43.9936,43993600
"177","United Arab Emirates",9.7705,9770500
"178","United Kingdom",67.5302,67530200
"179","Uruguay",3.4617,3461700
"180","US",329.0649,329064900
"181","Uzbekistan",32.9817,32981700
"182","Venezuela",28.5158,28515800
"183","Vietnam",96.4621,96462100
"184","West Bank and Gaza",4.9814,4981400
"185","Western Sahara",0.5825,582500
"186","Yemen",29.1619,29161900
"187","Zambia",17.861,17861000
"188","Zimbabwe",14.6455,14645500
